Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção;Inscritos_totais;abstenção_totais;Sondagem;Cor
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;JPP;816,0;0,0;0,004699999999999999;0,5222;10850615;0,44;0,0;#009285
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;AD;25305,0;1,0;0,3689;0,8411;10850615;0,44;0,0;#FF890C
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;PS;13857,0;1,0;0,20199999999999999;0,8411;10850615;0,44;0,0;#F1515E
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;CH;12695,0;0,0;0,18510000000000001;0,8411;10850615;0,44;0,0;#202056
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;Outros;6368,0;0,0;0,0928;0,8411;10850615;0,44;0,0;#ebedf0
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;PAN;3083,0;0,0;0,0449;0,8411;10850615;0,44;0,0;#01796F
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;IL;3016,0;0,0;0,044000000000000004;0,8411;10850615;0,44;0,0;#00AEEF
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;BE;1929,0;0,0;0,0281;0,8411;10850615;0,44;0,0;#AB1983
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;CDU;986,0;0,0;0,0144;0,8411;10850615;0,44;0,0;#950B0B
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;L;960,0;0,0;0,013999999999999999;0,8411;10850615;0,44;0,0;#00AB39
Histórico;Fora da Europa;636515,0;68594,0;568,0;31980,0;JPP;396,0;0,0;0,0058;0,8411;10850615;0,44;0,0;#009285
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;AD;24559,0;2,0;0,3483;0,4639;10850615;0,44;0,0;#FF890C
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;PS;22771,0;1,0;0,32289999999999996;0,4639;10850615;0,44;0,0;#F1515E
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;CH;9759,0;0,0;0,1384;0,4639;10850615;0,44;0,0;#202056
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;BE;3700,0;0,0;0,0525;0,4639;10850615;0,44;0,0;#AB1983
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;CDU;2737,0;0,0;0,0388;0,4639;10850615;0,44;0,0;#950B0B
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;Outros;2421,0;0,0;0,034300000000000004;0,4639;10850615;0,44;0,0;#ebedf0
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;IL;1981,0;0,0;0,0281;0,4639;10850615;0,44;0,0;#00AEEF
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;PAN;1382,0;0,0;0,0196;0,4639;10850615;0,44;0,0;#01796F
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;L;715,0;0,0;0,0101;0,4639;10850615;0,44;0,0;#00AB39
Histórico;Guarda;139520,0;70515,0;2241,0;2041,0;JPP;488,0;0,0;0,0069;0,4639;10850615;0,44;0,0;#009285
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;AD;86596,0;5,0;0,3504;0,36729999999999996;10850615;0,44;0,0;#FF890C
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;PS;65892,0;3,0;0,2667;0,36729999999999996;10850615;0,44;0,0;#F1515E
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;CH;39737,0;2,0;0,16079999999999997;0,36729999999999996;10850615;0,44;0,0;#202056
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;BE;15551,0;0,0;0,0629;0,36729999999999996;10850615;0,44;0,0;#AB1983
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;CDU;11268,0;0,0;0,045599999999999995;0,36729999999999996;10850615;0,44;0,0;#950B0B
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;IL;11085,0;0,0;0,0449;0,36729999999999996;10850615;0,44;0,0;#00AEEF
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;Outros;7008,0;0,0;0,028399999999999998;0,36729999999999996;10850615;0,44;0,0;#ebedf0
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;L;5268,0;0,0;0,0213;0,36729999999999996;10850615;0,44;0,0;#00AB39
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;PAN;4123,0;0,0;0,0167;0,36729999999999996;10850615;0,44;0,0;#01796F
Histórico;Leiria;412030,0;247099,0;8597,0;4995,0;JPP;573,0;0,0;0,0023;0,36729999999999996;10850615;0,44;0,0;#009285
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;AD;41479,0;3,0;0,3362;0,4972;10850615;0,44;0,0;#FF890C
